id,Group,block,days_after_planting,genotype,developmental_stage,leaf,zone,CAR(12:1),CE(20:3),CE(20:4),DG(34:1),DG(36:2),DG(36:3),DG(36:4),DG(34:2),DG(34:3),DG(34:4),DG(36:5),DG(36:6),DGDG(32:0),DGDG(32:1),DGDG(34:0),DGDG(34:1),DGDG(34:2),DGDG(34:4),DGDG(34:5),DGDG(36:1),DGDG(36:2),DGDG(36:3),DGDG(36:4),DGDG(36:6),DGDG(38:2),DGDG(38:5),DGDG(38:6),DGDG(40:2),DGDG(42:2),DGDG(42:3),DGDG(44:2),GlcCER(40:1),GlcCER(34:3),GlcCER(36:3),GlcCER(38:3),GlcCER(40:3),GlcCER(42:3),LPC(16:0),LPC(18:0),LPC(18:1),LPC(18:2),LPC(18:3),LPC(20:1),LPC(16:1),LPE(18:2),LPE(18:3),MGDG(34:1),MGDG(34:2),MGDG(34:3),MGDG(34:4),MGDG(34:6),MGDG(36:3),MGDG(36:4),MGDG(36:6),MGDG(36:7),MGDG(38:1),MGDG(38:5),MGDG(38:6),PC(30:0),PC(32:0),PC(32:1),PC(32:2),PC(34:0),PC(34:1),PC(34:2),PC(34:4),PC(36:1),PC(36:2),PC(36:3),PC(36:4),PC(36:5),PC(38:2),PC(38:3),PC(38:4),PC(38:5),PC(40:6),PC(34:3),PC(36:6),PC(42:3),PC(44:2),PE(34:2),PE(34:1),PE(34:4),PE(36:2),PE(36:3),PE(36:5),PE(36:6),PE(38:7),PE(42:3),PE(44:2),PG(32:0),PG(32:1),PG(34:2),PG(34:3),PG(34:4),PG(34:5),PG(36:6),PG(36:7),PS(42:2),SQDG(32:1),SQDG(34:1),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:5),SQDG(38:6),SQDG(32:0),SQDG(36:4),TG(42:0),TG(44:1),TG(46:0),TG(46:1),TG(46:2),TG(48:0),TG(48:1),TG(48:2),TG(50:0),TG(50:2),TG(50:4),TG(50:5),TG(52:0),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:8),TG(56:3),TG(56:5),TG(56:6),TG(56:7),TG(58:6),TG(46:3),TG(48:3),TG(48:5),TG(48:6),TG(40:1),TG(40:2),TG(50:3),TG(52:1),TG(52:2),TG(54:1),TG(54:2),TG(54:7),TG(54:9),TG(56:4),TG(56:8),TG(58:15)
D11P26T,1,1,58,PT,13,6,tip,1708,21836,0,0,5097,13321,12580,21833,47105,3329,77444,78698,50035,0,3099,5277,258838,14758,2446,12215,42075,1116942,97782,1681191,4886,6582,27941,2182,24321,7636,15528,0,13933,98784,73746,47462,s,31872,6627,13776,150471,95438,0,0,3893,946,3313,46951,503237,8137,0,43225,467579,1751575,25102,16739,6279,9942,0,11976,3051,14919,3220,288620,1444361,19246,73593,745155,279067,13653,1567721,11599,12219,12055,30881,2332,1455899,1504064,11362,2144,572339,69759,25125,15907,94756,134681,64805,4421,17175,1535,131997,96940,312309,409118,601570,1215,12411,2322,0,3736,3310,509578,1592,99735,141870,748,116796,15869,2110,0,7481,3862,4836,7039,13034,5382,9336,1597,1892,1638,15833,19851,46622,139590,196965,4024,9540,35556,40916,339204,890,3574,6037,1888,20307,100349,3179,0,2049,2598,18266,13701,2023,10096,1689,2996,194688,104285,1289,0,3312
D11P26C,1,1,58,PT,13,6,center,1204,28784,0,0,6126,16109,12898,19271,38419,2594,80942,53990,36930,0,2142,3361,215008,12321,2238,6944,95990,1000402,86827,1392694,3620,5955,22833,1565,24795,5458,18994,0,11456,62650,58268,41338,10090,28443,8216,9108,118808,71803,0,0,743,3002,2319,47467,430077,11062,0,50633,489624,1583995,25371,15527,4810,9931,0,9888,3597,15078,4358,316549,1286294,20452,100942,1447503,399721,13899,1454562,14965,14725,12940,33871,2282,1182416,1360252,13643,2460,775743,85383,30759,19848,162638,218825,96097,3214,23750,3075,117040,92061,312800,401763,581624,903,13731,1067,0,3436,0,320179,0,84721,121881,2398,74484,14448,1374,0,4294,2127,3188,14490,6012,4080,12090,1301,2334,1837,18348,25071,72992,190733,200275,5072,16167,59064,74745,629261,0,4440,8155,2564,17710,126355,2044,0,4602,1645,16110,13480,3479,11235,1754,2588,309757,47484,1990,0,2707
D11C14C,2,1,58,CML312,13,4,center,5069,59030,0,0,0,4024,3335,11556,37057,6145,39655,40634,99940,280,5159,19240,255104,16283,1248,6134,18044,682265,43515,1461327,0,3084,28810,2405,19480,4948,10109,0,18387,108297,99520,67174,15501,33522,2413,15129,182385,172237,0,0,4989,7020,6347,41506,745348,11862,0,18017,105684,1464581,16786,16354,5021,16549,0,29526,5826,10776,4043,298879,1047373,21764,25939,168481,145421,16707,1467210,4673,7360,11651,25806,1261,1236512,1575249,8448,2335,463623,48927,28306,8553,54907,117906,83193,21244,22863,0,60060,115728,55369,246935,724777,2009,1271,0,17445,3802,3794,941088,5858,75198,69699,3589,267573,8235,9909,4487,38183,60124,43163,57579,110477,75071,17195,8266,2222,4291,15726,62839,133818,402260,629154,10041,11197,35492,103096,934351,3122,3305,10714,3139,24323,69496,21534,0,1471,16190,144828,76240,19963,49657,11253,11289,363167,109417,2489,0,0
D11C112C,2,1,58,CML312,13,12,center,58447,34022,0,1156,1982,6403,18208,20393,53812,6975,67554,24420,148946,4272,12358,6980,246831,27694,3142,4164,14701,723385,66875,1074982,1909,6197,46221,1914,19357,3882,8436,0,19028,85620,94268,56346,15934,62988,6335,84334,1458761,884525,0,2294,766,2946,3994,61370,706003,26938,12668,23351,150383,1111590,13690,23822,7284,33920,0,52258,10021,11447,3534,444030,712351,35240,36626,623140,273170,48525,1101684,7727,10705,24174,50414,3127,1041046,997854,11478,11121,51745,7533,24426,1668,4257,13637,4564,1902,791,1065,118118,118175,102127,576912,755585,12230,5771,0,0,4686,4784,932365,4369,100986,127863,4569,468241,16582,872,0,4644,4248,4618,6878,8297,2596,10276,966,2599,2164,11302,36153,188995,479520,440052,4335,13429,40242,122226,766797,1949,4456,8604,6366,31834,82358,2352,0,3297,1433,33421,30699,3368,14498,1218,3184,420874,219785,2071,3448,13272
D11P16C,1,1,58,PT,13,6,center,0,103502,0,1223,0,4672,9562,14019,107477,8273,97992,284042,118653,1850,4765,4215,204272,31811,1965,4795,8826,859142,98805,2287717,0,5570,39159,0,32300,9086,3615,0,24753,178694,134976,103613,26973,28995,1544,4112,15715,42514,0,508,1422,0,2623,32286,1283492,25724,0,36669,272582,2078984,6820,31963,14714,24863,0,23516,0,2659,5497,91470,744560,13789,8110,21530,52052,0,525922,3992,5211,11313,29689,0,2185418,777819,19808,3045,165223,19713,58716,0,12311,33316,30947,6340,24396,0,102876,167027,109500,330096,690897,0,8204,2211,0,4396,0,890976,4359,54501,154199,0,132182,11680,2667,0,7474,6071,3606,14581,11420,4028,12048,1920,0,2285,25767,22247,79043,189332,667449,9432,10624,21508,47656,621051,0,1408,5574,2162,27074,135693,3018,0,13839,931,18621,27750,4264,13597,1801,3715,243027,122953,767,0,0
D11B28T,3,1,58,B73,10,8,tip,10278,36707,0,0,0,3766,17850,25176,28231,3573,74900,63004,198559,3099,9864,2302,333018,27238,3201,2564,22754,511185,98227,1342460,2297,10460,44548,937,28974,5414,9130,0,14252,78848,91980,64388,15370,37990,7771,80428,2240336,1146085,0,0,2340,0,4289,78876,529191,19522,17891,20611,271203,375775,10997,28497,14724,22273,2345,14418,2226,8748,2081,162445,856872,14581,12349,172131,199314,14866,1288892,4180,6998,19436,34272,3074,1089202,436725,5187,7126,18223,7689,30010,1414,1750,2809,0,0,167,522,148064,125952,428252,393410,709903,9003,4377,0,0,6019,6803,913917,4284,70943,400127,5000,632957,57667,1580,0,3762,3629,3289,7323,7135,2490,10569,1729,2008,2681,14822,49898,303104,535357,227821,5350,27007,98267,304967,790162,738,3787,9158,5813,17863,83947,1981,2987,3945,0,29203,16242,3935,9723,1509,3193,757072,95271,2358,0,13814
D11P210T,1,1,58,PT,13,10,tip,9163,26628,0,0,3075,6412,24160,23069,38284,3885,70669,56736,90098,0,9545,4760,199410,28295,521,4025,25118,807289,101950,1363044,1681,16530,95823,3134,20997,4509,5324,0,10862,55455,30321,56928,21771,33356,2083,22277,556010,151611,410,0,4689,2921,5538,53096,528653,27167,25544,47626,431432,1907214,31033,15302,15115,45497,0,25295,7008,16867,3190,595238,862775,35116,43566,524749,545532,59816,1425196,4380,19205,22336,78288,1768,1001489,1267396,14429,4478,403304,46680,21982,2552,12322,107421,28044,2629,5375,2739,172296,207984,429566,517186,1101092,2999,13383,6992,0,4517,3718,793735,5068,88664,6783,6850,305771,25985,830,0,5554,2691,3762,7965,8306,5168,9694,1877,2438,2600,15135,31688,135774,289088,206930,4236,14715,47111,96593,335108,1108,3275,6514,3108,14155,82991,2193,7088,9172,905,29575,20260,3125,10574,1429,2908,257080,36685,1903,0,0
D11C210B,2,1,58,CML312,10,10,base,11527,12489,0,657,4176,1701,32935,34653,38291,7629,78696,24464,201164,694,11193,17622,386368,21591,2662,15808,13331,406607,114884,1650827,2519,5349,30848,3594,21871,1688,5739,0,21683,110587,42280,59966,18284,44071,3204,145305,1762241,207840,1990,3464,1023,0,11171,120315,806466,32265,10492,41169,392069,1766237,9522,23098,9151,31558,2974,49244,8329,9841,3013,398874,1124454,20866,31830,275979,366611,28585,1329934,8550,18269,30340,36930,6835,1619690,352464,11723,10863,56204,32659,43794,2613,868,6886,1439,2285,746,1420,71628,99935,111929,550236,1026057,8636,527,2762,0,7113,9438,1093371,664,51379,6702,1168,551419,30341,1134,0,5266,4795,2496,7522,5370,4240,14290,1092,900,1346,6220,22997,103161,122881,54528,4339,10772,42621,90378,124870,807,2542,3942,2622,8589,28019,1867,4023,1340,1340,14290,7898,2866,6937,1220,2501,236813,16125,1461,0,7937
D11C16C,2,1,58,CML312,13,6,center,2582,48731,0,0,0,3954,9602,24343,60804,9684,61429,72024,112733,2191,6814,12814,191238,16623,1868,5159,11884,497763,45812,1799163,0,3370,23988,2101,18250,4502,7760,0,15276,128891,88711,47258,12449,32978,2017,81312,1056492,1224000,0,491,559,6754,4383,31267,516265,11218,0,16410,91861,1920040,13267,18412,5350,14383,0,15728,3074,408,0,189872,1533935,12461,17208,79277,98224,12309,1251822,4275,3958,6753,20907,1345,1690562,1239125,9652,2763,70199,11411,26236,4206,7060,14682,10080,3295,3103,1035,84906,96988,79310,363947,726559,3666,568,0,0,5354,0,1040756,185,62201,61316,0,355421,11327,1888,0,4370,5510,3330,10614,7866,4114,15122,2281,1492,1775,8077,19146,88431,253457,398557,3783,7645,24293,71605,483278,1238,2892,7640,2487,26376,76745,1773,0,2505,1540,15416,19736,1923,7917,1354,2545,270910,172263,1261,0,0
D11B28C,3,1,58,B73,10,8,center,51421,37632,0,0,3363,5619,26114,47380,34028,6890,96092,50608,190051,2783,13460,12912,299404,23958,0,3541,30143,611823,80957,1276606,3227,8318,35545,3530,39176,5297,10043,0,14901,98298,33069,74771,20651,39292,7236,102769,2143608,1095670,0,4142,1451,0,4647,66230,507477,17803,15418,19039,208356,320758,10130,30442,12136,22612,4928,24307,1090,5971,1977,122499,935027,11798,11950,179525,148548,6621,1037766,5103,5381,15794,26995,1012,1074970,357699,5723,4205,11627,5672,19974,1886,0,1937,0,0,313,0,136549,130590,326039,306136,623697,10550,4354,0,0,6030,6866,935706,4671,93365,7901,556,596265,46206,1105,0,5468,6618,7555,8218,11234,8506,10688,1553,3892,2928,12427,48522,364493,639467,251704,7355,36200,206889,479172,1181990,1053,4782,11141,7950,27757,82265,3420,3335,3967,0,32617,18282,3904,12023,1146,3496,993422,158557,3344,3125,18382
D11P212T,1,1,58,PT,13,12,tip,19206,35808,0,0,3192,5434,23181,14317,31800,5796,72606,38272,93381,2255,15895,5664,196918,24158,122,9470,30564,841684,98505,1142413,1213,12009,54818,2285,19670,1802,5447,2661,11574,63428,70121,50595,23661,63875,7398,101562,1541926,782765,0,724,5519,0,3855,54780,418122,15966,13739,38150,399667,1928399,14352,16577,10780,22272,0,27175,6061,11393,2851,526865,1086053,20058,43037,478128,467850,35956,1260162,6345,15535,12433,47731,3909,859115,745426,10361,4793,59103,7895,17217,955,2528,12956,3497,1755,395,707,149056,144951,364326,405914,700521,4267,8814,3248,0,4800,4628,813355,3338,110634,205425,4048,315661,31042,2826,0,9246,10586,10703,12417,21224,7318,12249,3619,2081,2636,4024,53472,220179,422188,226991,6045,24242,60145,158437,349165,1497,3687,7558,3883,20420,76321,5027,6981,8713,3440,48806,27842,6162,19884,3164,5025,355344,54426,2469,0,9745
D11C26C,2,1,58,CML312,10,6,center,2557,44199,652,0,0,0,11713,26015,36653,5245,47537,18114,191669,2937,1670,8813,283470,17060,1449,3531,22131,852705,42667,1742132,0,3360,22366,2687,24359,6006,8993,0,19911,90693,111536,64877,14355,25265,1148,781,114410,21126,0,0,2789,0,6771,82747,1190791,30317,0,29642,254422,1552282,23826,25783,9369,31432,0,33303,8492,22873,2969,516304,1564544,23523,37555,414477,294248,40958,1711668,5911,12053,18067,46769,420,1695572,981385,12607,4946,468587,46272,28863,5273,25936,107142,33441,17787,18282,0,100908,187521,91547,448541,1026907,391,0,0,0,1310,4335,858094,2438,52506,58746,376,257798,10840,2436,0,8017,6163,2174,8960,11015,5513,12966,1884,2393,1705,21548,24320,73224,144826,113802,6862,9322,12459,27708,90075,1172,1946,4265,1108,19046,73358,2629,0,3475,1874,31637,25277,4522,14399,1926,3018,81345,29554,1737,0,1336
D11P28B,1,1,58,PT,13,8,base,6793,33558,0,0,5235,13550,26821,33307,47833,6766,107000,64686,78360,0,5489,4856,193695,22906,838,4402,34370,783429,83341,1211905,1704,15075,64590,672,14873,4044,6134,0,11646,70881,57564,40699,12360,47689,9707,31849,865525,479347,0,0,13672,7825,3058,46518,575019,22077,19274,55493,440228,1141266,24355,12108,10835,27576,0,15363,1682,9986,2319,304267,925734,19352,50504,595246,384585,35126,1129461,7123,10133,19920,44783,1753,1117645,789140,9057,3548,427424,43847,39833,6143,39223,83554,27869,5161,7722,2230,137917,128777,319469,414941,735339,0,11367,3215,0,3972,3199,532430,661,65056,24124,3633,147431,18419,2485,0,8415,6102,5601,8290,13781,5248,10408,1735,3319,3960,16803,69359,309248,684669,453009,10255,47175,156947,282234,889242,4254,14005,26038,5747,4892,73372,3858,8884,12622,1974,48650,36526,6172,28982,2655,9469,615367,249887,6073,1836,2359
D11P18B,1,1,58,PT,13,8,base,1438,27608,0,2241,1939,5548,12268,32171,55320,4793,113174,61972,124908,2768,5783,20383,247207,26587,839,6942,4031,582349,91707,1986341,2042,7066,45352,2156,24883,3204,7024,0,21432,121929,100811,89175,21113,28797,2005,3115,43599,27046,0,0,1723,0,4119,46554,1026545,17303,20409,28629,332375,1447909,3036,16788,11288,36995,1531,25452,1615,6461,2872,362025,1671484,17560,17614,77851,279709,32139,1442339,4232,5369,10958,40661,7042,1982441,871915,10752,6088,254045,26793,41856,3259,10414,48759,17646,11665,10477,0,114709,187444,202071,434899,951095,0,6386,2424,0,6806,4164,995383,1602,42331,86390,2409,205811,15602,1883,0,5841,2194,2024,8099,7223,3142,14112,3204,1294,1574,19063,25892,89332,201173,233655,4250,5195,36840,73193,402349,0,1904,2818,2907,8867,52509,1675,2030,2666,0,12683,15309,2563,4388,1337,1931,354453,123324,1077,849,0
D11B28B,3,1,58,B73,10,8,base,10719,14248,0,0,3878,3852,42175,47785,30395,5588,104953,29697,217103,1028,13428,17515,345953,17408,2213,7951,15396,512597,99421,1573323,3430,8073,27013,2032,26015,4296,7917,0,12670,126858,94299,46277,13550,28459,3816,88177,2153318,644268,2594,669,1546,0,4266,68942,521477,12295,12361,17070,256210,1704498,7377,20108,14165,21737,3409,30255,4063,5673,2089,101678,1343456,8530,11729,174785,143869,16549,924119,6094,7884,25429,27855,4910,1264473,234797,4118,5521,14175,1328,28193,0,2437,1087,0,824,385,361,110199,110255,292822,317626,612235,8989,1063,0,0,7821,6288,866432,3671,55220,186632,2888,473844,49861,1617,0,2841,1998,2306,5950,5195,3505,15184,3964,2264,2210,15610,43697,342159,321838,113189,5382,27618,152771,416658,584892,789,5148,8250,8050,12907,48625,1465,3250,3134,705,18609,8694,2222,9678,1719,2102,952276,37267,3002,0,3940
